id	subject	predicate	object	category	agent_type	has_attribute	knowledge_level
uuid:418b813c-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	DST	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 14',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 14',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 14.0})] })	observation
uuid:418b8998-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	RORA	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 15',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 15',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 15.0})] })	observation
uuid:418b91f4-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	NRXN1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 16',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 16',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 16.0})] })	observation
uuid:418b9a28-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	RNF220	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 17',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 17',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 17.0})] })	observation
uuid:418ba252-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	LRP1B	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 18',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 18',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 18.0})] })	observation
uuid:418baa90-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	RBM25	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 19',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 19',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 19.0})] })	observation
uuid:418bb2ce-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	DLG2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 20',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 20',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 20.0})] })	observation
uuid:418bbb66-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	LHFPL3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 21',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 21',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 21.0})] })	observation
uuid:418bc3b8-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	HSP90AA1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 22',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 22',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 22.0})] })	observation
uuid:418bcbec-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	FLT1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 23',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 23',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 23.0})] })	observation
uuid:418bd420-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	LRRC4C	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 24',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 24',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 24.0})] })	observation
uuid:418bdc7c-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	QKI	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 25',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 25',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 25.0})] })	observation
uuid:418be4b0-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	OPCML	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 26',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 26',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 26.0})] })	observation
uuid:418bece4-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	MMD2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 27',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 27',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 27.0})] })	observation
uuid:418bf50e-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	LAMA2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 28',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 28',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 28.0})] })	observation
uuid:418bfd42-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	CSMD1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 29',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 29',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 29.0})] })	observation
uuid:418c056c-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	PPP2R2B	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 30',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 30',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 30.0})] })	observation
uuid:418c0d96-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	MT-ND4	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 31',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 31',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 31.0})] })	observation
uuid:418c15ca-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	ARGLU1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 32',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 32',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 32.0})] })	observation
uuid:418c1de0-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	CTNNA2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 33',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 33',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 33.0})] })	observation
uuid:418c2632-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	PLXDC2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 34',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 34',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 34.0})] })	observation
uuid:418c2e48-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	MT-CO2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 35',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 35',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 35.0})] })	observation
uuid:418c369a-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	DLC1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 36',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 36',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 36.0})] })	observation
uuid:418c3ec4-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	PRRC2C	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 37',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 37',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 37.0})] })	observation
uuid:418c4702-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	ANKS1B	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 38',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 38',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 38.0})] })	observation
uuid:418c4f36-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	ST6GALNAC3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 39',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 39',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 39.0})] })	observation
uuid:418c579c-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	CADM2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 40',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 40',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 40.0})] })	observation
uuid:418c5fbc-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	NTM	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 41',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 41',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 41.0})] })	observation
uuid:418c680e-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	SLC6A1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 42',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 42',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 42.0})] })	observation
uuid:418c702e-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	DOCK4	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 43',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 43',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 43.0})] })	observation
uuid:418c7862-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	LINC00486	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 44',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 44',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 44.0})] })	observation
uuid:418c8096-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	LRMDA	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 45',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 45',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 45.0})] })	observation
uuid:418c88b6-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	CTNNA3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 46',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 46',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 46.0})] })	observation
uuid:418c90f4-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	XYLT1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 47',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 47',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 47.0})] })	observation
uuid:418c991e-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	NPAS3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 48',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 48',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 48.0})] })	observation
uuid:418ca15c-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	SLC44A1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 49',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 49',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 49.0})] })	observation
uuid:418ca986-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	KAZN	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 50',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 50',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 50.0})] })	observation
uuid:418cb1c4-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	NEAT1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 51',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 51',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 51.0})] })	observation
uuid:418cb9f8-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	FMNL2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 52',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 52',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 52.0})] })	observation
uuid:418cc222-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	MAGI2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 53',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 53',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 53.0})] })	observation
uuid:418cca7e-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	TRIM2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 54',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 54',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 54.0})] })	observation
uuid:418cd2a8-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	PDZD2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 55',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 55',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 55.0})] })	observation
uuid:418cdadc-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	MT-CO3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 56',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 56',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 56.0})] })	observation
uuid:418ce310-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	GPM6A	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 57',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 57',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 57.0})] })	observation
uuid:418ceb3a-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	PITPNC1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 58',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 58',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 58.0})] })	observation
uuid:418cf3f0-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	CALD1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 59',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 59',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 59.0})] })	observation
uuid:418cfc1a-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	NRG3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 60',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 60',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 60.0})] })	observation
uuid:418d044e-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	NRXN3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 61',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 61',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 61.0})] })	observation
uuid:418d0c8c-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	ADARB2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 62',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 62',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 62.0})] })	observation
uuid:418d14ca-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	GPC5	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 63',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 63',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 63.0})] })	observation
uuid:418d1cf4-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	SYNE1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 64',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 64',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 64.0})] })	observation
uuid:418d2550-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	DPP6	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 65',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 65',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 65.0})] })	observation
uuid:418d2d7a-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	XIST	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 66',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 66',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 66.0})] })	observation
uuid:418d35ae-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	ZBTB20	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 67',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 67',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 67.0})] })	observation
uuid:418d3dd8-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	ADGRB3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 68',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 68',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 68.0})] })	observation
uuid:418d4602-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	GRID2	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 69',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 69',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 69.0})] })	observation
